term_id,term_str,n,num,stop,p_stem
317,1871,3,1,0,1871
318,1872,5,1,0,1872
319,1873,4,1,0,1873
320,1874,4,1,0,1874
321,1875,10,1,0,1875
322,1876,7,1,0,1876
323,1877,6,1,0,1877
324,1878,7,1,0,1878
325,1879,3,1,0,1879
326,1880,13,1,0,1880
327,1881,8,1,0,1881
328,1882,4,1,0,1882
329,1883,1,1,0,1883
330,1884,8,1,0,1884
331,1885,5,1,0,1885
332,1886,1,1,0,1886
333,1887,3,1,0,1887
334,1888,2,1,0,1888
335,1889,3,1,0,1889
336,189,2,1,0,189
337,1890,19,1,0,1890
338,1891,1,1,0,1891
339,1892,5,1,0,1892
340,1893,9,1,0,1893
341,1894,3,1,0,1894
342,1895,10,1,0,1895
343,1896,7,1,0,1896
344,1897,5,1,0,1897
345,1898,13,1,0,1898
346,1899,6,1,0,1899
347,18th,5,1,0,18th
348,19,14,1,0,19
349,190,1,1,0,190
350,1900,19,1,0,1900
351,1901,3,1,0,1901
352,1902,6,1,0,1902
353,1903,6,1,0,1903
354,1904,5,1,0,1904
355,1905,2,1,0,1905
356,1906,2,1,0,1906
357,1909,6,1,0,1909
358,1910,14,1,0,1910
359,1911,3,1,0,1911
360,1912,2,1,0,1912
361,1913,2,1,0,1913
362,1914,4,1,0,1914
363,1917,2,1,0,1917
364,1918,2,1,0,1918
365,1919,1,1,0,1919
366,1925,1,1,0,1925
367,19457,1,1,0,19457
368,196,2,1,0,196
369,199,1,1,0,199
370,19th,7,1,0,19th
371,1st,11,1,0,1st
372,2,29,1,0,2
373,20,9,1,0,20
374,200,7,1,0,200
375,2000,3,1,0,2000
376,20000,8,1,0,20000
377,200000,7,1,0,200000
378,2000000,4,1,0,2000000
379,20000000,2,1,0,20000000
380,200000000,1,1,0,200000000
381,202,1,1,0,202
382,203,2,1,0,203
383,2037030,1,1,0,2037030
384,205,1,1,0,205
385,2050686,1,1,0,2050686
386,2053,2,1,0,2053
387,208,1,1,0,208
388,209,1,1,0,209
389,20th,7,1,0,20th
390,21,5,1,0,21
391,2101411,1,1,0,2101411
392,211,1,1,0,211
393,212,1,1,0,212
394,215,1,1,0,215
395,216,1,1,0,216
396,217,1,1,0,217
397,2175000,2,1,0,2175000
398,218972,2,1,0,218972
399,219,1,1,0,219
400,21st,2,1,0,21st
401,22,8,1,0,22
402,220,1,1,0,220
403,22000,2,1,0,22000
404,220000,1,1,0,220000
405,221,2,1,0,221
406,2235,1,1,0,2235
407,224,1,1,0,224
408,225,1,1,0,225
409,2250,1,1,0,2250
410,2253198,1,1,0,2253198
411,227,1,1,0,227
412,2278,1,1,0,2278
413,23,4,1,0,23
414,234,1,1,0,234
415,235,1,1,0,235
416,236,1,1,0,236
417,237,2,1,0,237
418,2376txt,1,1,0,2376txt
419,2376zip,1,1,0,2376zip
420,239,1,1,0,239
421,23984,1,1,0,23984
422,23d,4,1,0,23d
423,24,10,1,0,24
424,240,2,1,0,240
425,2400,2,1,0,2400
426,240000,1,1,0,240000
427,24000000,1,1,0,24000000
428,241,2,1,0,241
429,243,1,1,0,243
430,244,1,1,0,244
431,245,1,1,0,245
432,24591000,1,1,0,24591000
433,249,1,1,0,249
434,24th,1,1,0,24th
435,25,7,1,0,25
436,250,5,1,0,250
437,2500,1,1,0,2500
438,25000,2,1,0,25000
439,250000,2,1,0,250000
440,2500000,1,1,0,2500000
441,25000000,1,1,0,25000000
442,2522,1,1,0,2522
443,253,1,1,0,253
444,25th,3,1,0,25th
445,26,5,1,0,26
446,260000,1,1,0,260000
447,261,1,1,0,261
448,262,1,1,0,262
449,26507,2,1,0,26507
450,2660,1,1,0,2660
451,26th,2,1,0,26th
452,27,4,1,0,27
453,2700,1,1,0,2700
454,27000000110,1,1,0,27000000110
455,272,1,1,0,272
456,274,1,1,0,274
457,275000,1,1,0,275000
458,2750000,1,1,0,2750000
459,276,1,1,0,276
460,277,1,1,0,277
461,27th,1,1,0,27th
462,28,8,1,0,28
463,280000,1,1,0,280000
464,283,1,1,0,283
465,28515,1,1,0,28515
466,2875,1,1,0,2875
467,288141,1,1,0,288141
468,28th,1,1,0,28th
469,29,4,1,0,29
470,291,1,1,0,291
471,29750,1,1,0,29750
472,2990000,1,1,0,2990000
473,29th,1,1,0,29th
474,2d,2,1,0,2d
475,2nd,3,1,0,2nd
476,3,24,1,0,3
477,30,6,1,0,30
478,300,8,1,0,300
479,3000,6,1,0,3000
480,30000,3,1,0,30000
481,300000,4,1,0,300000
482,3000000,1,1,0,3000000
483,300000000,1,1,0,300000000
484,3064,1,1,0,3064
485,3075,1,1,0,3075
486,309,1,1,0,309
487,30th,4,1,0,30th
488,31,4,1,0,31
489,311,1,1,0,311
490,3125392,1,1,0,3125392
491,313,1,1,0,313
492,314,1,1,0,314
493,315,2,1,0,315
494,317,1,1,0,317
495,3184633,1,1,0,3184633
496,319,1,1,0,319
497,319346,1,1,0,319346
498,32,2,1,0,32
499,320,3,1,0,320
500,32170,1,1,0,32170
501,323,1,1,0,323
502,33,3,1,0,33
503,330,2,1,0,330
504,332,1,1,0,332
505,336,1,1,0,336
506,337,2,1,0,337
507,339,1,1,0,339
508,34,2,1,0,34
509,345,1,1,0,345
510,35,4,1,0,35
511,350,1,1,0,350
512,35000,1,1,0,35000
513,350000,1,1,0,350000
514,351,1,1,0,351
515,352,2,1,0,352
516,354,1,1,0,354
517,35400000,1,1,0,35400000
518,359,1,1,0,359
519,36,4,1,0,36
520,360,2,1,0,360
521,362,2,1,0,362
522,364,1,1,0,364
523,37,2,1,0,37
524,370,1,1,0,370
525,373,1,1,0,373
526,374,1,1,0,374
527,375,1,1,0,375
528,376,1,1,0,376
529,38,3,1,0,38
530,380,1,1,0,380
531,381,2,1,0,381
532,38928236100,1,1,0,38928236100
533,39,4,1,0,39
534,3950000,2,1,0,3950000
535,3d,2,1,0,3d
536,3rd,4,1,0,3rd
537,4,20,1,0,4
538,40,8,1,0,40
539,400,1,1,0,400
540,4000,2,1,0,4000
541,40000,3,1,0,40000
542,400000,1,1,0,400000
543,4000000,6,1,0,4000000
544,401,1,1,0,401
545,4010,1,1,0,4010
546,405,1,1,0,405
547,405751,1,1,0,405751
548,408,1,1,0,408
549,41,2,1,0,41
550,4106950,1,1,0,4106950
551,413,1,1,0,413
552,414,1,1,0,414
553,415,1,1,0,415
554,41739,1,1,0,41739
555,4175,1,1,0,4175
556,42,2,1,0,42
557,425,1,1,0,425
558,425000,1,1,0,425000
559,429,1,1,0,429
560,42nd,1,1,0,42nd
561,43,4,1,0,43
562,43000,1,1,0,43000
